id	store_code	quantity	availability	price	pickup_method	pickup_sla
nexa-best-value-business-cards	l5899834319943270243	1000	in stock	38.00 CAD	buy	same day
nexa-matte-business-cards	l5899834319943270243	1000	in stock	75.00 CAD	buy	same day
nexa-glossy-business-cards	l5899834319943270243	1000	in stock	75.00 CAD	buy	same day
nexa-folded-business-cards	l5899834319943270243	1000	in stock	135.00 CAD	buy	same day
nexa-suede-soft-touch-business-cards	l5899834319943270243	1000	in stock	130.00 CAD	buy	same day
nexa-embossed-spot-uv-19pt	l5899834319943270243	1000	in stock	175.00 CAD	buy	same day
nexa-metallic-foil-business-cards	l5899834319943270243	1000	in stock	190.00 CAD	buy	same day
nexa-magnetic-business-cards	l5899834319943270243	1000	in stock	190.00 CAD	buy	same day
nexa-coupon-card	l5899834319943270243	1000	in stock	65.00 CAD	buy	same day
nexa-flyers	l5899834319943270243	1000	in stock	70.00 CAD	buy	same day
nexa-postcards	l5899834319943270243	1000	in stock	65.00 CAD	buy	same day
nexa-brochures	l5899834319943270243	1000	in stock	155.00 CAD	buy	same day
nexa-door-hangers	l5899834319943270243	1000	in stock	190.00 CAD	buy	same day
nexa-retractable-banners	l5899834319943270243	1000	in stock	120.00 CAD	buy	same day
nexa-x-frame-signs	l5899834319943270243	1000	in stock	110.00 CAD	buy	same day
nexa-vinyl-banners	l5899834319943270243	1000	in stock	57.60 CAD	buy	same day
nexa-lawn-signs	l5899834319943270243	1000	in stock	110.00 CAD	buy	same day
nexa-adhesive-vinyl-sign	l5899834319943270243	1000	in stock	18.00 CAD	buy	same day
nexa-vinyl-window-graphics	l5899834319943270243	1000	in stock	16.00 CAD	buy	same day
nexa-see-through-perforated-sign	l5899834319943270243	1000	in stock	40.00 CAD	buy	same day
nexa-backlit-translucent-vinyl	l5899834319943270243	1000	in stock	48.00 CAD	buy	same day
nexa-indoor-wallpaper	l5899834319943270243	1000	in stock	80.00 CAD	buy	same day
nexa-polybag-signs	l5899834319943270243	1000	in stock	279.00 CAD	buy	same day
nexa-pole-rigid-sign	l5899834319943270243	1000	in stock	124.16 CAD	buy	same day
nexa-pole-vinyl-sticker	l5899834319943270243	1000	in stock	190.72 CAD	buy	same day
nexa-magnetic-vehicle-signs	l5899834319943270243	1000	in stock	30.00 CAD	buy	same day
nexa-booklets	l5899834319943270243	1000	in stock	117.50 CAD	buy	same day
nexa-presentation-folders	l5899834319943270243	1000	in stock	140.80 CAD	buy	same day
nexa-event-posters	l5899834319943270243	1000	in stock	12.77 CAD	buy	same day
nexa-bookmarks	l5899834319943270243	1000	in stock	15.36 CAD	buy	same day
nexa-thank-you-card	l5899834319943270243	1000	in stock	53.76 CAD	buy	same day
nexa-digital-sheets	l5899834319943270243	1000	in stock	3.71 CAD	buy	same day
nexa-letterheads	l5899834319943270243	1000	in stock	96.00 CAD	buy	same day
nexa-envelopes	l5899834319943270243	1000	in stock	153.92 CAD	buy	same day
nexa-notepads	l5899834319943270243	1000	in stock	239.41 CAD	buy	same day
nexa-ncr-forms	l5899834319943270243	1000	in stock	113.92 CAD	buy	same day
nexa-tent-cards	l5899834319943270243	1000	in stock	382.72 CAD	buy	same day
nexa-restaurant-laminated-menu	l5899834319943270243	1000	in stock	38.40 CAD	buy	same day
nexa-custom-foam-board	l5899834319943270243	1000	in stock	57.60 CAD	buy	same day
nexa-giant-cheques	l5899834319943270243	1000	in stock	57.60 CAD	buy	same day
nexa-sheet-stickers	l5899834319943270243	1000	in stock	44.80 CAD	buy	same day
nexa-roll-labels	l5899834319943270243	1000	in stock	83.20 CAD	buy	same day
nexa-vinyl-roll-labels	l5899834319943270243	1000	in stock	113.92 CAD	buy	same day
nexa-clear-labels	l5899834319943270243	1000	in stock	121.60 CAD	buy	same day
nexa-feature-sheets	l5899834319943270243	1000	in stock	51.19 CAD	buy	same day
nexa-for-sale-sold-signs	l5899834319943270243	1000	in stock	28.16 CAD	buy	same day
nexa-realtor-riders	l5899834319943270243	1000	in stock	19.20 CAD	buy	same day
nexa-open-house-boards	l5899834319943270243	1000	in stock	85.00 CAD	buy	same day
nexa-paper-posters	l5899834319943270243	1000	in stock	12.25 CAD	buy	same day
nexa-window-clings	l5899834319943270243	1000	in stock	28.00 CAD	buy	same day
nexa-canvas-roll	l5899834319943270243	1000	in stock	120.00 CAD	buy	same day
